Date,Open,High,Low,Close,Adj Close,Volume
1996.7.1,207.5215,208.1787,206.3594,207.8812,,
1996.7.8,207.5683,210.4409,207.4556,210.4409,,
1996.7.15,211.0129,211.0129,198.5413,198.5413,,
1996.7.22,195.5814,198.789,193.0097,193.0097,,
1996.7.29,192.5204,200.4791,192.5204,200.4791,,
1996.8.5,198.0405,198.2925,196.8882,198.2925,,
1996.8.12,201.0102,201.3826,198.3114,201.3826,,
1996.8.19,204.1453,204.1453,198.9991,199.4884,,
1996.8.26,197.5964,199.0573,196.5199,198.5151,,
1996.9.2,201.111,202.7258,199.0708,202.7258,,
1996.9.9,202.4392,205.104,202.4392,203.6445,,
1996.9.16,200.3247,203.2176,200.0859,201.2462,,
1996.9.23,200.0195,206.1821,200.0195,206.1821,,
1996.9.30,205.2159,208.7525,204.15,208.7525,,
1996.10.7,211.3873,213.4756,207.384,208.4771,,
1996.10.14,210.5632,211.6458,209.46,210.8564,,
1996.10.21,211.076,213.2334,207.5663,211.1836,,
1996.10.28,211.4412,211.4412,203.7491,203.7491,,
1996.11.4,202.2481,206.0662,202.2481,206.0662,,
1996.11.11,206.1964,211.3354,205.1907,211.3354,,
1996.11.18,210.0346,218.5162,210.0346,218.5162,,
1996.11.25,218.2583,220.0094,218.2583,218.9817,,
1996.12.2,218.8679,227.7607,218.8679,222.5064,,
1996.12.9,216.5412,217.76,211.4646,217.76,,
1996.12.16,227.6629,228.4117,223.7044,228.2911,,
1996.12.23,224.047,225.3584,216.1087,216.1087,,
1996.12.30,212.2408,218.9456,212.2408,218.9456,,
1997.1.6,228.8586,228.8586,219.0411,219.0411,,
1997.1.13,214.889,219.7472,212.5224,212.5224,,
1997.1.20,210.9596,210.9596,207.4615,207.4615,,
1997.1.27,208.3957,209.029,204.9099,204.9099,,
1997.2.3,203.8218,205.3196,194.7054,194.7054,,
1997.2.10,195.087,195.8985,192.3915,192.7935,,
1997.2.17,193.4107,195.1659,192.4491,192.4491,,
1997.2.24,188.6945,191.7616,188.6945,188.8185,,
1997.3.3,188.8339,194.0744,188.8339,194.0744,,
1997.3.10,192.7083,195.3903,192.0136,195.3903,,
1997.3.17,192.4971,196.3189,192.4971,194.1882,,
1997.3.24,192.2776,193.442,191.9632,193.442,,
1997.3.31,192.4289,192.4289,186.5516,186.5516,,
1997.4.7,187.0956,189.6247,187.0696,189.6247,,
1997.4.14,191.7792,193.691,189.195,193.691,,
1997.4.21,194.9822,194.9822,193.1896,194.3442,,
1997.4.28,192.7148,196.7891,192.7148,194.7618,,
1997.5.5,193.9964,197.8147,193.9964,197.8147,,
1997.5.12,200.0243,202.9404,199.2842,202.9404,,
1997.5.19,201.8567,201.8567,199.7264,200.7544,,
1997.5.26,198.4111,198.8515,197.3687,197.3687,,
1997.6.2,195.5138,195.5138,187.7736,187.7736,,
1997.6.9,186.8021,186.8021,184.5929,185.4187,,
1997.6.16,185.1022,186.3924,183.6261,183.6261,,
1997.6.23,184.1895,185.2951,182.5341,184.1707,,
1997.6.30,185.1689,185.5789,182.8284,182.8284,,
1997.7.7,181.1499,182.7789,181.1499,182.6399,,
1997.7.14,182.986,185.5663,182.986,184.2818,,
1997.7.21,182.7628,188.2026,182.7628,188.2026,,
1997.7.28,189.4474,194.523,189.3708,194.523,,
1997.8.4,197.9974,197.9974,194.1982,194.1982,,
1997.8.11,194.4302,195.4016,193.8524,193.8524,,
1997.8.18,192.55,194.8775,191.4613,192.9936,,
1997.8.25,191.0344,195.7684,190.9203,195.7684,,
1997.9.1,197.5146,197.636,194.2411,195.2361,,
1997.9.8,194.2483,196.0832,194.2483,195.9613,,
1997.9.15,194.9881,196.1993,194.2568,195.2392,,
1997.9.22,197.8294,203.8038,197.8294,203.8038,,
1997.9.29,202.0064,207.5409,201.4265,207.5409,,
1997.10.6,202.8161,207.3293,202.3096,207.3293,,
1997.10.13,205.1108,205.6867,202.1543,204.1189,,
1997.10.20,206.5623,211.0168,206.5623,208.8933,,
1997.10.27,211.4592,211.4592,204.6905,208.1534,,
1997.11.3,205.6334,205.6334,203.5299,203.5299,,
1997.11.10,204.3367,205.9964,202.5873,202.5873,,
1997.11.17,199.6256,199.6256,192.2989,193.7408,,
1997.11.24,192.7062,192.7062,188.6889,188.6889,,
1997.12.1,189.3757,189.3757,185.0139,185.7261,,
1997.12.8,185.8978,186.4441,181.1103,181.1103,,
1997.12.15,179.8122,182.1177,179.8122,181.7889,,
1997.12.22,179.0184,179.0184,177.9192,178.4042,,
1997.12.29,176.4184,176.4184,173.2876,173.2876,,
1998.1.5,171.5885,171.5885,168.4582,168.4582,,
1998.1.12,167.2654,171.0129,167.2654,171.0129,,
1998.1.19,170.4986,170.4986,168.6351,168.6351,,
1998.1.26,172.6025,176.8663,172.6025,174.2636,,
1998.2.2,174.0576,174.0576,170.174,171.6487,,
1998.2.9,171.3586,171.5336,170.5994,170.837,,
1998.2.16,167.8483,170.3144,167.8483,168.4792,,
1998.2.23,164.2405,165.0984,163.4723,165.0984,,
1998.3.2,164.9506,164.9506,161.7581,161.7581,,
1998.3.9,160.2186,162.5554,160.2186,161.6902,,
1998.3.16,158.5007,162.9455,158.0785,162.6295,,
1998.3.23,170.9636,170.9636,167.9879,170.5347,,
1998.3.30,169.0546,169.0546,165.4283,166.8599,,
1998.4.6,163.6716,166.7052,163.6716,166.7052,,
1998.4.13,165.4236,169.3189,165.4236,167.8751,,
1998.4.20,167.6135,169.0569,163.9902,163.9902,,
1998.4.27,164.3273,166.516,163.8963,166.516,,
1998.5.4,166.3884,166.3884,163.8435,163.8435,,
1998.5.11,163.8406,164.8085,162.0929,162.0929,,
1998.5.18,160.4956,160.4956,157.3932,158.7289,,
1998.5.25,157.0322,158.2691,156.4468,158.2691,,
1998.6.1,157.1086,157.1086,155.8819,156.4412,,
1998.6.8,154.6392,154.6392,152.1959,152.6077,,
1998.6.15,149.457,153.3816,149.457,153.3816,,
1998.6.22,155.0276,158.8751,155.0276,155.5428,,
1998.6.29,154.2725,155.1993,154.2725,154.8521,,
1998.7.6,152.4501,152.6227,150.9342,150.9342,,
1998.7.13,150.7107,152.5699,150.5514,150.5514,,
1998.7.20,147.1132,147.1132,145.4279,145.7229,,
1998.7.27,145.9228,145.9228,143.6022,143.6022,,
1998.8.3,141.2222,144.1204,141.2222,144.1204,,
1998.8.10,141.516,142.8849,139.6809,142.8849,,
1998.8.17,143.1498,143.2172,140.6234,140.6234,,
1998.8.24,141.4354,141.4354,137.5737,137.9237,,
1998.8.31,136.9596,143.1527,136.9596,142.991,,
1998.9.7,143.6063,147.0983,143.1362,146.4294,,
1998.9.14,147.8227,152.4732,147.8227,152.4732,,
1998.9.21,152.208,153.6551,152.208,152.6862,,
1998.9.28,152.2356,153.7656,150.7718,152.252,,
1998.10.5,151.5726,152.2387,149.3819,150.7113,,
1998.10.12,149.7829,150.5873,149.3886,150.1623,,
1998.10.19,146.9205,148.719,146.9205,148.719,,
1998.10.26,149.9945,149.9945,147.8081,148.4851,,
1998.11.2,148.2528,148.2528,147.8519,148.1916,,
1998.11.9,146.5421,150.8457,146.5421,149.1521,,
1998.11.16,145.1888,145.1888,142.5962,142.5962,,
1998.11.23,139.2904,139.2904,137.4878,137.642,,
1998.11.30,133.4806,133.4806,132.3333,132.3333,,
1998.12.7,133.8947,133.8947,130.2188,130.409,,
1998.12.14,132.9867,136.9559,131.0009,131.0009,,
1998.12.21,128.8857,129.939,128.8857,129.939,,
1998.12.28,130.6552,133.019,130.6552,133.019,,
1999.1.4,134.7565,138.7489,133.578,138.7489,,
1999.1.11,140.4372,140.4372,135.0766,135.0766,,
1999.1.18,133.5775,135.2501,132.4441,135.2501,,
1999.1.25,133.4487,135.2692,132.1659,135.2692,,
1999.2.1,133.4895,133.9257,133.0385,133.0385,,
1999.2.8,133.1026,133.1127,132.8359,132.8692,,
1999.2.15,130.0031,132.2085,130.0031,131.4064,,
1999.2.22,131.194,133.2422,130.8113,130.8113,,
1999.3.1,131.1051,137.2155,131.1051,137.2155,,
1999.3.8,139.2699,144.7319,139.2699,142.8823,,
1999.3.15,141.9965,146.4127,141.9965,146.4127,,
1999.3.22,149.2716,152.211,147.0358,152.211,,
1999.3.29,152.902,154.2953,152.8592,152.8592,,
1999.4.5,153.9152,153.9152,149.2558,152.7195,,
1999.4.12,152.1104,155.7264,152.1104,155.7264,,
1999.4.19,157.1157,158.2437,156.5453,157.7405,,
1999.4.26,156.763,160.9771,156.763,160.9771,,
1999.5.3,161.634,162.4368,158.7984,158.7984,,
1999.5.10,160.0611,160.0611,156.9402,158.5068,,
1999.5.17,157.9173,157.9173,153.8697,154.7613,,
1999.5.24,152.1697,153.5175,152.1697,152.2197,,
1999.5.31,149.9942,155.1236,149.9942,155.1236,,
1999.6.7,157.9396,161.4907,157.1995,161.4907,,
1999.6.14,161.6568,161.6886,159.3225,159.8642,,
1999.6.21,158.3084,160.246,157.8025,159.6202,,
1999.6.28,158.6368,163.362,158.6368,162.6163,,
1999.7.5,161.5676,162.7832,161.5676,162.7832,,
1999.7.12,162.9245,165.8748,162.9245,165.8748,,
1999.7.19,166.0452,170.4179,162.8304,170.4179,,
1999.7.26,169.3436,170.6022,168.0005,169.1718,,
1999.8.2,171.2025,175.7046,170.9188,175.7046,,
1999.8.9,177.6851,178.9288,177.5596,178.9288,,
1999.8.16,178.234,181.1127,178.234,180.9302,,
1999.8.23,181.3968,181.3968,176.4369,178.1165,,
1999.8.30,180.7356,181.6245,178.245,180.5009,,
1999.9.6,184.8741,189.1533,184.5108,189.1533,,
1999.9.13,190.307,190.307,187.6287,188.7677,,
1999.9.20,186.9221,191.842,186.5192,191.842,,
1999.9.27,192.4688,192.9837,191.063,191.0734,,
1999.10.4,187.3916,187.3916,175.8071,175.8071,,
1999.10.11,178.077,187.727,178.077,186.5373,,
1999.10.18,185.8948,188.988,185.0867,188.988,,
1999.10.25,188.3975,188.3975,180.911,181.3901,,
1999.11.1,183.5998,185.9317,182.7891,185.7394,,
1999.11.8,186.2874,193.8399,186.2874,193.8399,,
1999.11.15,194.9772,197.4049,193.9177,196.5483,,
1999.11.22,198.9199,198.9199,197.0352,197.9752,,
1999.11.29,194.7713,194.7713,189.6623,194.0236,,
1999.12.6,196.7659,196.7659,189.4886,189.4886,,
1999.12.13,189.715,197.7741,189.715,197.7741,,
1999.12.20,197.7322,197.7322,193.8112,195.2361,,
1999.12.27,195.9048,197.5716,194.5372,194.5372,,
2000.1.3,194.2237,194.2237,188.5528,188.5528,,
2000.1.10,189.8289,202.0791,189.8289,202.0791,,
2000.1.17,205.861,208.4641,205.861,208.4641,,
2000.1.24,206.746,209.0047,204.4356,204.4356,,
2000.1.31,206.365,212.2114,206.365,212.2114,,
2000.2.7,208.9809,211.0808,205.6049,210.6448,,
2000.2.14,212.7823,213.0257,209.7584,209.7584,,
2000.2.21,210.5672,214.6274,210.5672,214.6274,,
2000.2.28,214.2303,222.5149,214.2303,221.9379,,
2000.3.6,224.6126,230.4045,216.8311,216.8311,,
2000.3.13,216.865,216.865,213.1748,213.6732,,
2000.3.20,207.0278,209.3277,206.9933,209.3277,,
2000.3.27,209.1501,209.1501,203.9219,206.8815,,
2000.4.3,204.6767,204.6767,198.06,198.06,,
2000.4.10,193.1008,199.4815,193.1008,197.3674,,
2000.4.17,198.8959,204.2725,198.8959,204.2725,,
2000.4.24,205.0087,205.0087,200.2589,203.2085,,
2000.5.1,205.456,210.2277,205.456,209.6032,,
2000.5.8,212.6856,220.6587,212.6856,220.6587,,
2000.5.15,221.518,225.5833,221.518,224.7846,,
2000.5.22,220.7445,229.0205,220.7445,227.7214,,
2000.5.29,227.7588,227.7588,223.2031,227.2475,,
2000.6.5,226.175,226.175,224.2038,225.7123,,
2000.6.12,229.2959,231.2818,227.3885,227.3885,,
2000.6.19,223.9036,236.2059,223.9036,235.5875,,
2000.6.26,233.7357,237.8327,233.7357,235.7137,,
2000.7.3,235.4018,235.4018,223.8221,225.6975,,
2000.7.10,223.3658,227.0771,223.3658,225.5531,,
2000.7.17,222.7907,226.9308,218.4016,218.4016,,
2000.7.24,214.7347,216.5457,214.0236,216.5457,,
2000.7.31,213.3268,224.1833,213.3268,224.1833,,
2000.8.7,220.2284,229.3062,220.2284,228.8826,,
2000.8.14,229.9261,233.4071,229.0255,233.4071,,
2000.8.21,236.811,237.8094,232.7269,237.8094,,
2000.8.28,240.9912,245.3099,240.9912,245.3099,,
2000.9.4,248.3897,254.9999,247.4995,247.4995,,
