Date,Open,High,Low,Close,Adj Close,Volume
1996-07-01,9.690000,9.690000,9.410000,9.410000,2.524458,0
1996-07-08,9.410000,9.580000,9.410000,9.580000,2.570064,0
1996-07-15,9.530000,9.680000,9.530000,9.640000,2.586161,0
1996-07-22,9.590000,9.630000,9.570000,9.600000,2.575430,0
1996-07-29,9.530000,9.870000,9.530000,9.870000,2.647864,0
1996-08-05,9.860000,9.860000,9.830000,9.830000,2.652376,0
1996-08-12,9.890000,9.890000,9.770000,9.800000,2.644282,0
1996-08-19,9.790000,9.790000,9.660000,9.660000,2.606507,0
1996-08-26,9.580000,9.610000,9.460000,9.460000,2.552543,0
1996-09-02,9.510000,9.510000,9.420000,9.460000,2.567344,0
1996-09-09,9.500000,9.620000,9.460000,9.620000,2.610765,0
1996-09-16,9.640000,9.640000,9.530000,9.540000,2.589056,0
1996-09-23,9.560000,9.720000,9.560000,9.700000,2.632477,0
1996-09-30,9.670000,9.890000,9.670000,9.890000,2.684039,0
1996-10-07,9.840000,9.840000,9.730000,9.780000,2.669046,0
1996-10-14,9.780000,9.840000,9.760000,9.840000,2.685420,0
1996-10-21,9.820000,9.820000,9.780000,9.820000,2.679964,0
1996-10-28,9.800000,9.990000,9.800000,9.970000,2.720897,0
1996-11-04,9.990000,10.100000,9.990000,10.080000,2.766208,0
1996-11-11,10.080000,10.190000,10.080000,10.160000,2.788163,0
1996-11-18,10.150000,10.210000,10.150000,10.180000,2.793649,0
1996-11-25,10.200000,10.260000,10.180000,10.260000,2.815608,0
1996-12-02,10.260000,10.270000,10.080000,10.080000,2.780960,0
1996-12-09,10.130000,10.130000,9.960000,10.030000,2.767166,0
1996-12-16,9.970000,10.020000,9.910000,10.020000,2.764409,0
1996-12-23,10.030000,10.080000,10.020000,10.080000,2.780960,0
1996-12-30,10.070000,10.070000,9.850000,9.860000,2.720266,0
1997-01-06,9.840000,9.850000,9.750000,9.750000,2.704690,0
1997-01-13,9.760000,9.840000,9.760000,9.790000,2.715787,0
1997-01-20,9.790000,9.850000,9.740000,9.740000,2.701914,0
1997-01-27,9.690000,9.840000,9.690000,9.840000,2.729655,0
1997-02-03,9.890000,9.920000,9.880000,9.920000,2.767460,0
1997-02-10,9.930000,10.040000,9.920000,10.040000,2.800936,0
1997-02-17,10.040000,10.040000,9.960000,9.960000,2.778620,0
1997-02-24,9.930000,9.930000,9.770000,9.780000,2.728404,0
1997-03-03,9.760000,9.760000,9.700000,9.760000,2.736548,0
1997-03-10,9.760000,9.760000,9.620000,9.640000,2.702901,0
1997-03-17,9.630000,9.630000,9.610000,9.630000,2.700098,0
1997-03-24,9.660000,9.660000,9.510000,9.510000,2.666451,0
1997-03-31,9.500000,9.530000,9.470000,9.470000,2.655236,0
1997-04-07,9.530000,9.530000,9.440000,9.440000,2.662503,0
1997-04-14,9.440000,9.560000,9.440000,9.560000,2.696350,0
1997-04-21,9.520000,9.570000,9.480000,9.480000,2.673786,0
1997-04-28,9.500000,9.720000,9.500000,9.720000,2.741476,0
1997-05-05,9.720000,9.730000,9.660000,9.730000,2.759484,0
1997-05-12,9.740000,9.740000,9.700000,9.710000,2.753814,0
1997-05-19,9.700000,9.700000,9.630000,9.640000,2.733958,0
1997-05-26,9.600000,9.710000,9.600000,9.710000,2.753814,0
1997-06-02,9.720000,9.840000,9.720000,9.840000,2.806678,0
1997-06-09,9.790000,9.890000,9.780000,9.890000,2.820938,0
1997-06-16,9.910000,9.950000,9.890000,9.950000,2.838052,0
1997-06-23,9.920000,9.920000,9.830000,9.870000,2.815232,0
1997-06-30,9.830000,10.000000,9.830000,10.000000,2.852316,0
1997-07-07,10.040000,10.080000,10.030000,10.080000,2.890657,0
1997-07-14,10.060000,10.120000,10.060000,10.080000,2.890657,0
1997-07-21,10.060000,10.180000,10.060000,10.150000,2.910730,0
1997-07-28,10.180000,10.300000,10.130000,10.130000,2.904994,0
1997-08-04,10.120000,10.130000,9.950000,9.950000,2.868456,0
1997-08-11,9.960000,10.030000,9.930000,10.030000,2.891520,0
1997-08-18,10.070000,10.070000,9.930000,9.930000,2.862691,0
1997-08-25,9.920000,10.020000,9.920000,9.980000,2.877107,0
1997-09-01,10.020000,10.020000,9.960000,9.960000,2.887188,0
1997-09-08,9.990000,10.010000,9.930000,10.010000,2.901682,0
1997-09-15,10.030000,10.220000,10.030000,10.220000,2.962559,0
1997-09-22,10.250000,10.270000,10.190000,10.230000,2.965456,0
1997-09-29,10.210000,10.290000,10.190000,10.290000,2.982847,0
1997-10-06,10.330000,10.360000,10.170000,10.170000,2.963446,0
1997-10-13,10.160000,10.240000,10.150000,10.150000,2.957621,0
1997-10-20,10.170000,10.300000,10.170000,10.300000,3.001324,0
1997-10-27,10.420000,10.440000,10.290000,10.440000,3.042123,0
1997-11-03,10.370000,10.400000,10.330000,10.400000,3.046548,0
1997-11-10,10.400000,10.450000,10.400000,10.450000,3.061194,0
