Date,Open,High,Low,Close,Adj Close,Volume
1996.7.1,382,382,382,382,,
1996.7.8,384,384,384,384,,
1996.7.15,385,385,385,385,,
1996.7.22,386,386,386,386,,
1996.7.29,385,388,384,388,,
1996.8.5,388,391,388,388,,
1996.8.12,388,389,386,386,,
1996.8.19,386,389,386,388,,
1996.8.26,389,390,389,387,,
1996.9.2,386,386,386,385,,
1996.9.9,386,386,383,382,,
1996.9.16,383,383,383,381,,
1996.9.23,382,382,379,380,,
1996.9.30,380,381,377,380,,
1996.10.7,380,382,380,381,,
1996.10.14,381,382,380,380,,
1996.10.21,384,384,383,383,,
1996.10.28,384,384,383,378,,
1996.11.4,379,379,379,380,,
1996.11.11,381,381,381,381,,
1996.11.18,376,376,376,376,,
1996.11.25,375,375,373,373,,
1996.12.2,371,374,366,369,,
1996.12.9,369,370,368,369,,
1996.12.16,369,371,368,369,,
1996.12.23,370,371,369,370,,
1996.12.30,361,361,361,361,,
1997.1.6,359,359,359,359,,
1997.1.13,354,354,354,356,,
1997.1.20,353,353,353,353,,
1997.1.27,352,352,344,345,,
1997.2.3,345,348,340,343,,
1997.2.10,343,348,339,346,,
1997.2.17,348,355,347,354,,
1997.2.24,355,360,354,365,,
1997.3.3,350,350,350,350,,
1997.3.10,353,353,353,353,,
1997.3.17,353,353,353,353,,
1997.3.24,346,352,346,350,,
1997.3.31,351,352,347,349,,
1997.4.7,348,350,345,347,,
1997.4.14,347,347,337,342,,
1997.4.21,343,344,341,342,,
1997.4.28,342,342,340,340,,
1997.5.5,342,342,342,348,,
1997.5.12,344,344,344,344,,
1997.5.19,343,343,340,343,,
1997.5.26,346,348,344,345,,
1997.6.2,345,345,339,343,,
1997.6.9,344,344,341,341,,
1997.6.16,341,343,337,338,,
1997.6.23,337,339,337,335,,
1997.6.30,332,332,332,324,,
1997.7.7,322,322,322,322,,
1997.7.14,320,320,320,329,,
1997.7.21,326,326,326,326,,
1997.7.28,326,330,323,325,,
1997.8.4,324,327,317,326,,
1997.8.11,327,329,323,326,,
1997.8.18,326,327,321,326,,
1997.8.25,325,326,324,325,,
1997.9.1,323,323,323,323,,
1997.9.8,325,325,325,324,,
1997.9.15,321,321,321,321,,
1997.9.22,327,327,327,327,,
1997.9.29,328,338,327,335,,
1997.10.6,334,334,327,329,,
1997.10.13,328,328,323,324,,
1997.10.20,323,324,311,307,,
1997.10.27,312,314,310,311,,
1997.11.3,310,310,310,310,,
1997.11.10,313,313,309,304,,
1997.11.17,306,306,306,306,,
1997.11.24,304,304,295,297,,
1997.12.1,296,298,286,288,,
1997.12.8,288,289,282,283,,
1997.12.15,284,290,283,290,,
1997.12.22,292,297,291,295,,
1997.12.29,293,294,293,289,,
1998.1.5,279,279,279,279,,
1998.1.12,291,291,291,291,,
1998.1.19,300,300,300,300,,
1998.1.26,306,307,301,303,,
1998.2.2,302,306,295,299,,
1998.2.9,301,302,299,301,,
1998.2.16,300,301,298,298,,
1998.2.23,297,300,291,299,,
1998.3.2,296,296,293,295,,
1998.3.9,294,294,294,295,,
1998.3.16,296,296,296,292,,
1998.3.23,303,303,303,303,,
1998.3.30,303,309,299,308,,
1998.4.6,309,315,306,308,,
1998.4.13,309,311,307,308,,
1998.4.20,308,316,308,313,,
1998.4.27,310,312,308,303,,
1998.5.4,300,300,300,300,,
1998.5.11,301,301,301,301,,
1998.5.18,300,300,300,300,,
1998.5.25,294,294,291,292,,
1998.6.1,292,293,287,291,,
1998.6.8,292,299,285,285,,
1998.6.15,285,300,285,299,,
1998.6.22,295,296,293,294,,
